Name,Country,Region,Winery,Rating,NumberOfRatings,Year,Price
Novecento Malbec 2018,Argentina,Mendoza,Dante Robino,3.3,367,2018,8.41
Carruades de Lafite Pauillac 2008,France,Pauillac,Château Lafite Rothschild,4.3,367,2008,279.95
Heideboden Rot 2016,Austria,Neusiedlersee,Hannes Reeh,3.7,367,2016,13.60
Celeste Crianza 2017,Spain,Ribera del Duero,Pago del Cielo,3.9,367,2017,16.50
Barbera d'Alba 2018,Italy,Barbera d'Alba,Mauro Molino,3.8,367,2018,12.10
Rioja Reserva 2014,Spain,Rioja,Marqués de Cáceres,3.9,3672,2014,13.69
Pinot Noir 2015,United States,Oregon,Erath,3.7,3676,2015,21.45
Primitivo Puglia Primasole 2018,Italy,Puglia,Cielo e Terra,3.8,368,2018,4.47
Saint Joseph Poivre et Sol 2016,France,Saint-Joseph,Francois Villard,3.9,368,2016,19.90
Villa de Corullón Bierzo 2011,Spain,Bierzo,Descendientes de J. Palacios,4.0,368,2011,38.01
Essence du Cap Pinotage 2017,South Africa,Bottelary,Fleur du Cap,3.3,368,2017,9.90
Bramare Marchiori Vineyard Malbec 2016,Argentina,Mendoza,Viña Cobos,4.5,368,2016,78.19
Kerbuccio Maury Sec 2014,France,Maury,Château Saint-Roch,3.8,368,2014,21.90
Ursprung 2017,Germany,Pfalz,Schneider,3.7,368,2017,8.95
Edizione Cinque Autoctoni 2016,Italy,Abruzzo,Farnese,4.3,3685,2016,21.89
Ribera del Duero Red 2015,Spain,Ribera del Duero,Montecastro,4.1,369,2015,22.23
Selección Finca el Grajo Viejo 2012,Spain,Ribera del Duero,Protos,4.1,369,2012,54.90
Dalmau Rioja 2014,Spain,Rioja,Marqués de Murrieta,4.5,369,2014,61.41
Grandi Annate Vino Nobile di Montepulciano 2013,Italy,Vino Nobile di Montepulciano,Avignonesi,4.2,369,2013,78
Haut-Médoc (Grand Cru Classé) 2015,France,Haut-Médoc,Château de Camensac,3.9,369,2015,45
El Abuelo Garnacha Tintorera 2018,Spain,Almansa,Bodegas Piqueras,4.1,369,2018,7.45
Les Grézeaux Chinon 2015,France,Chinon,Bernard Baudry,3.8,369,2015,33.73
Pinot Noir Riserva Monticol 2016,Italy,Südtirol - Alto Adige,Terlan (Terlano),4.1,369,2016,25.30
Sainte-Épine Saint-Joseph 2016,France,Saint-Joseph,Delas,4.3,37,2016,56.45
Bin 3 Merlot - Cabernet Sauvignon 2017,South Africa,Stellenbosch,Kaapzicht,4.1,37,2017,10.95
Barrique Zweigelt 2017,Austria,Kamptal,Kurt Angerer,3.4,37,2017,9.80
Kammerberg Spätburgunder GG 2013,Germany,Pfalz,Friedrich Becker,4.2,37,2013,72.89
Fleurie Colonies de Rochegrès 2014,France,Fleurie,Joseph Burrier (Château de Beauregard),4.0,37,2014,19.90
Valpolicella 2018,Italy,Valpolicella,Latium Morini,3.6,37,2018,9.45
Caro 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.2,37,2017,48.10
Spätburgunder Rotwein Trocken 2013,Germany,Rheinhessen,Wittmann,3.9,37,2013,17.29
Merlot 2018,Chile,Central Valley,Carmen,3.7,37,2018,6.75
Merlot Reserva 2017,Chile,Casablanca Valley,Veramonte,3.5,37,2017,8.50
Saint-Émilion Grand Cru (Grand Cru Classé) 2016,France,Saint-Émilion Grand Cru,Château Franc Mayne,3.8,37,2016,63.66
Domaine des Pierrelles Côte Rôtie 2015,France,Côte-Rôtie,Paul Jaboulet Aîné,4.3,37,2015,83.15
Schwarz Mann 2015,Austria,Burgenland,Schwarz,3.7,37,2015,12.48
Sangiovese - Shiraz 2017,Australia,McLaren Vale,Coriole Vineyards,3.5,37,2017,10.51
Fabio Contato Valtènesi Rosso 2015,Italy,Garda,Cà Maiol,3.9,37,2015,26.99
Vacqueyras 2018,France,Vacqueyras,M. Chapoutier,4.1,37,2018,22.22
GSM 2016,France,Vin de France,Maison de La Villette,3.7,37,2016,6.39
Volnay 2016,France,Volnay,Domaine Poulleau Père & Fils,3.4,37,2016,38.80
Reserva Real 2015,Spain,Penedès,Torres,4.1,37,2015,115.43
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Tenuta Il Poggione,3.8,37,2018,12.57
Zweigelt Reserve BURG 2016,Austria,Niederösterreich,Weingut R&A Pfaffl,4.0,37,2016,22.59
Azagador Reserva Tinto 2014,Spain,La Mancha,Pago de la Jaraba,4.0,37,2014,7.90
Les Carrétals 2016,France,Minervois,Domaine Anne Gros & Jean-Paul Tollot,4.1,37,2016,36.55
La Rétro Rouge 2019,France,Vin de France,Domaine Lafage,3.1,37,2019,9.21
Saint-Émilion Grand Cru 2013,France,Saint-Émilion Grand Cru,Château Tertre Roteboeuf,4.6,37,2013,166.45
Feudi d'Albe Montepulciano d'Abruzzo 2017,Italy,Montepulciano d'Abruzzo,Bove,3.5,37,2017,4.30
Conciso Tinto 2015,Portugal,Dão,Niepoort,3.8,37,2015,18.73
Montecoco Salice Salentino Rosso 2017,Italy,Salice Salentino,Cantine due Palme,3.7,37,2017,8.17
Dornfelder 2017,Germany,Pfalz,Thorsten Krieger,3.2,37,2017,8.32
Etichetta Blu Chianti Classico 2017,Italy,Chianti Classico,Lamole di Lamole,3.9,37,2017,15.95
La Garnatxa Fosca del Priorat 2018,Spain,Priorat,Proyecto Garnachas de España,3.9,37,2018,18.95
Merlot 2011,Italy,Colli Orientali del Friuli,La Tunella,3.5,37,2011,16.56
Limited Release Merlot 2012,United States,Napa Valley,Black Stallion,4.0,37,2012,84.27
Parrina Sangiovese 2017,Italy,Parrina,Fattoria la Parrina,3.4,37,2017,11.21
Orígenes 2017,Spain,Castilla y León,Dehesa de Luna,3.7,37,2017,10.42
Othello 2016,United States,Napa Valley,Dominus,3.7,37,2016,42.89
Maximus 2015,Germany,Rheinhessen,Pfannebecker,3.9,37,2015,14.90
Sasso Bucato 2017,Italy,Toscana,Russo,4.1,37,2017,20.96
Merlot dal Pic 2013,Italy,Collio,Collavini,4.1,37,2013,36
Königsbecher Pinot Noir GG 2011,Germany,Baden,Heitlinger,3.6,37,2011,28.09
Gravel Quarry Cabernet Sauvignon 2017,South Africa,Paarl,Glen Carlou,4.1,37,2017,32.90
Cabernet Sauvignon 2018,Chile,Central Valley,de Gras,3.5,37,2018,5.50
Consigna Cabernet Sauvignon 2018,Spain,Castilla,Félix Solís,3.3,37,2018,4.99
El Vuelo 2013,Spain,Castilla y León,Ermita del Conde,3.5,37,2013,7.90
Imagine 2016,France,Ventoux,Vindemio,3.7,37,2016,17
Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Podere La Vigna,4.1,37,2015,29.15
Aglianico 2014,Italy,Calabria,Ferrocinto,3.7,37,2014,6.80
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château de Lisse,3.7,37,2015,40.98
Crianza 2015,Spain,Navarra,Castillo de Enériz,3.4,37,2015,6.88
Predappio Sangiovese 2013,Italy,Emilia-Romagna,Conde,3.8,37,2013,15.11
Goru Organic 2018,Spain,Jumilla,EGO,3.7,37,2018,6.69
Côtes de Thongue 2016,France,Côtes de Thongue,Bassac,3.7,37,2016,18.25
Estate Red 2017,South Africa,Constantia,Klein Constantia,3.8,37,2017,18.87
Vinhas Velhas 2015,Portugal,Dão,Quinta da Ponte Pedrinha,4.0,37,2015,19.90
Haut-Médoc 2016,France,Haut-Médoc,Château du Retout,3.8,370,2016,16.90
Marionette Monastrell - Syrah 2017,Spain,Jumilla,EGO,3.7,370,2017,7.50
Serenity 2016,South Africa,Hemel-en-Aarde Valley,Ataraxia,4.0,370,2016,17.74
Torre Albéniz Reserva Ribera del Duero 2015,Spain,Ribera del Duero,Finca Torremilanos,4.1,370,2015,24.37
Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Léoville Las Cases,4.3,370,2008,185
Malbec 2017,Argentina,Agrelo,Crios,3.6,3705,2017,12.51
Hommage à Jacques Perrin Châteauneuf-du-Pape 2009,France,Châteauneuf-du-Pape,Château de Beaucastel,4.5,371,2009,480
Tenuta Guado al Tasso Cont'Ugo Bolgheri 2017,Italy,Bolgheri,Antinori,4.2,371,2017,34.02
Pomerol 2015,France,Pomerol,Jean-Pierre Moueix,3.8,371,2015,24.73
Pinot Noir 2016,South Africa,Elgin,Paul Cluver,3.7,371,2016,18.90
Pomerol 2005,France,Pomerol,Vieux Château Certan,4.4,371,2005,204.74
Saint-Estèphe 2013,France,Saint-Estèphe,Château Lilian Ladouys,3.7,371,2013,21.63
Alfredo Second Pass Shiraz 2015,Australia,New South Wales,Nugan,3.7,372,2015,14.29
Cabernet Sauvignon 2018,United States,California,Gallo Family Vineyards,3.6,372,2018,6.05
Barolo Gallinotto 2012,Italy,Barolo,Mauro Molino,4.1,372,2012,31.90
Ca' de' Rocchi Corvè Corvina della Provincia di Verona 2017,Italy,Verona,Tinazzi,4.3,372,2017,9.65
Lirica Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Produttori Vini Manduria,4.0,372,2017,12.18
Inferno Riserva Valtellina Superiore 2013,Italy,Valtellina Superiore,Aldo Rainoldi,3.9,372,2013,26.09
Chalk Hill Blue Shiraz - Cabernet 2016,Australia,South Australia,Angove,3.3,372,2016,7.70
Reserva Rioja Tempranillo 2011,Spain,Rioja,Baigorri,4.0,373,2011,26.81
Essenze Barolo 2013,Italy,Barolo,Vite Colte,3.9,373,2013,25.13
Mompertone Monferrato 2015,Italy,Monferrato,Prunotto,3.7,373,2015,13.99
Priorat Cruor 2015,Spain,Priorat,Casa Gran del Siurana,4.2,373,2015,17.99
Toscana Rosso 2015,Italy,Toscana,Altesino,3.7,373,2015,11
Amarone della Valpolicella Classico Lena di Mezzo 2015,Italy,Amarone della Valpolicella Classico,Monte del Frá,4.2,373,2015,28.03
Old Vine Zinfandel 2016,United States,California,Bogle,3.8,3731,2016,15.33
Tinto 2017,Spain,Ribera del Duero,Emilio Moro,4.2,3734,2017,15.38
Châteauneuf-du-Pape 2016,France,Châteauneuf-du-Pape,Xavier Vignon,4.1,374,2016,29.95
Armantes Garnacha - Tempranillo 2016,Spain,Calatayud,San Gregorio,3.8,374,2016,6.09
Mercurey 2017,France,Mercurey,Château de Chamirey,4.0,374,2017,39.36
Salanques Priorat 2016,Spain,Priorat,Mas Doix,4.1,374,2016,35.70
Barolo 2015,Italy,Barolo,Ricossa,3.7,374,2015,18.84
Fronsac 2016,France,Fronsac,Château Dalem,3.9,375,2016,23.95
Appassimento 2018,Italy,Salento,Aristocratico,3.9,375,2018,7.79
Ultra Malbec Las Rocas 2018,Argentina,Mendoza,Kaiken,4.1,375,2018,17.40
Rouge (Estate Reserve) 2008,South Africa,Stellenbosch,Morgenster Estate,4.3,375,2008,38.94
Pessac-Léognan 2015,France,Pessac-Léognan,Château Ferran,3.7,375,2015,19.95
Unfiltered Red 2013,Chile,Maule Valley,Erasmo,3.9,375,2013,21.05
Côtes-du-Rhône Rouge 2016,France,Côtes-du-Rhône,E. Guigal,3.7,3752,2016,8.70
Merlot 2016,Israel,Galilee,Yarden,4.1,376,2016,24.90
Aconcagua Alto Cabernet Sauvignon 2015,Chile,Aconcagua,Errazuriz,3.8,376,2015,21.45
Saint-Julien (Grand Cru Classé) 2015,France,Saint-Julien,Château Gruaud Larose,4.1,376,2015,82.86
Margaux (Grand Cru Classé) 2013,France,Margaux,Château Rauzan-Ségla,3.9,376,2013,67.26
Varietal Cabernet Sauvignon 2018,Chile,Central Valley,Santa Helena,3.1,376,2018,4.85
Lagrein (Selezione) 2018,Italy,Südtirol - Alto Adige,Elena Walch,3.9,377,2018,13.90
Quadrio Valtellina Superiore 2015,Italy,Valtellina Superiore,Nino Negri,3.7,377,2015,11.36
Cabernet Sauvignon 2016,South Africa,Stellenbosch,Tokara,3.8,377,2016,13.95
Grande Reserve 2017,Chile,Colchagua Valley,Los Vascos,3.8,377,2017,15.79
Pinotage 2017,South Africa,Coastal Region,Fleur du Cap,3.4,377,2017,9.95
Crianza Rioja 2017,Spain,Rioja,Ramón Bilbao,3.9,377,2017,8.70
S.L.V. Cabernet Sauvignon 2014,United States,Napa Valley,Stag's Leap Wine Cellars,4.4,377,2014,180.35
Toscana I Sodi di San Niccolo 2015,Italy,Toscana,Castellare,4.3,377,2015,48.40
Valpolicella Ripasso Superiore 2017,Italy,Valpolicella Ripasso,Palazzo Maffei,3.8,378,2017,11.50
CDC Rosso 2017,Italy,Terre Siciliane,Baglio del Cristo di Campobello,3.8,378,2017,7.60
Hermitage La Chapelle Rouge 1995,France,Hermitage,Paul Jaboulet Aîné,4.3,378,1995,181.75
Reserva Vendimia Seleccionada 2014,Spain,Rioja,Viña Albina,3.6,378,2014,11.60
Amarone della Valpolicella 2015,Italy,Amarone della Valpolicella,Castelforte,4.1,3782,2015,19.90
120 Cabernet Sauvignon 2015,Chile,Central Valley,Santa Rita,3.2,3783,2015,6.77
Shiraz (Skaapveld) 2017,South Africa,Coastal Region,MAN,3.5,3784,2017,5.30
Grand Estates Cabernet Sauvignon 2016,United States,Columbia Valley,Columbia Crest,3.7,3784,2016,12.25
Merlot 2019,Australia,South Eastern Australia,Yellow Tail,3.6,379,2019,6.21
Chiantari Nero d'Avola 2018,Italy,Terre Siciliane,Zabu,4.0,379,2018,6.80
Cadillac - Côtes de Bordeaux (Premières Côtes de Bordeaux) 2014,France,Cadillac - Côtes de Bordeaux,Château de Ricaud,3.7,379,2014,11.30
Duas Quintas Tinto 2017,Portugal,Douro,Ramos Pinto,3.9,379,2017,10.63
Pauillac (Grand Cru Classé) 2016,France,Pauillac,Château Pichon Baron,4.4,379,2016,193.99
Sangre de Toro 2017,Spain,Catalunya,Torres,3.5,3792,2017,6.75
Echevin Guillaume de Rouville Rouge 2017,France,Côtes-du-Rhône-Villages 'Saint-Maurice',Domaine La Florane,3.9,38,2017,15.50
Barolo Prapò 2013,Italy,Barolo,Ceretto,4.2,38,2013,96.03
Zweigelt 2017,Austria,Wagram,Anton Bauer,3.8,38,2017,9.51
Killerman's Run Shiraz - Grenache 2014,Australia,Clare Valley,Kilikanoon,3.8,38,2014,20.75
Syrah 2017,Italy,Terre Siciliane,Fatascia,3.5,38,2017,7.55
Chianti Rufina Riserva 2012,Italy,Chianti Rùfina,Villa di Vetrice,3.7,38,2012,13.90
Caspar C. Spätburgunder 2016,Germany,Ahr,Deutzerhof,3.9,38,2016,24.28
Cosimo Varvaglione Collezione Privata Negroamaro del Salento 2014,Italy,Salento,Varvaglione,4.2,38,2014,20.90
Tour des Trois Lunes Rouge 2016,France,Bordeaux,Sichel,3.7,38,2016,15.40
Clos de Vougeot Grand Cru 2011,France,Clos Vougeot Grand Cru,Joseph Drouhin,4.4,38,2011,174.49
Côtes de Castillon 2010,France,Castillon - Côtes de Bordeaux,Clos Les Lunelles,3.7,38,2010,34.95
Les Remparts de Ferrière Margaux 2011,France,Médoc,Château Ferrière,3.6,38,2011,29.95
Palmenti Primitivo di Manduria Vigne Vecchie 2016,Italy,Primitivo di Manduria,Masseria Pietrosa,4.3,38,2016,24.37
Vinyarets 2018,Spain,Penedès,Torres,3.6,38,2018,15.95
d'Alceo 2014,Italy,Toscana,Castello dei Rampolla,4.3,38,2014,172
Giramonte Toscana 2014,Italy,Toscana,Tenuta Castiglioni,4.3,38,2014,126.38
Rosso Piceno Superiore Campo Delle Mura 2006,Italy,Rosso Piceno,Moncaro,4.0,38,2006,17.45
Sud Tarantino Primitivo - Merlot 2018,Italy,Tarantino,San Marzano,3.7,38,2018,6.73
Amarone della Valpolicella Classico 2015,Italy,Amarone della Valpolicella Classico,Lenotti,4.2,38,2015,23.90
Dròmos 2011,Italy,Maremma Toscana,Poggio Verrano,4.0,38,2011,37.97
Rioja Reserva 2013,Spain,Rioja,Remelluri,4.1,38,2013,24.95
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2013,France,Saint-Émilion Grand Cru,Château Ausone,4.7,38,2013,575.13
Rasteau 2016,France,Rasteau,Domaine Fond Croze,3.7,38,2016,12.18
Châteauneuf-du-Pape 2004,France,Châteauneuf-du-Pape,Tardieu-Laurent,4.2,38,2004,49.95
Spätburgunder 2012,Germany,Pfalz,Oliver Zeter,3.7,38,2012,9.70
Rioja Viñas Viejas 2016,Spain,Rioja,Beronia,3.6,38,2016,13.99
Rioja Cisma 2014,Spain,Rioja,Pujanza,4.4,38,2014,112
Saint-Émilion Grand Cru (Grand Cru Classé) 2015,France,Saint-Émilion Grand Cru,Château Destieux,4.2,38,2015,69.82
Bourgogne Pinot Noir 2017,France,Bourgogne,Régnard,3.6,38,2017,19.64
Bricco dell'Uccellone Barbera d'Asti 2017,Italy,Barbera d'Asti,Braida,4.4,38,2017,49.90
Gold 2017,South Africa,Stellenbosch,Rustenberg,3.6,38,2017,25.34
Rosenthal Spätburgunder GG 2012,Germany,Ahr,J.J. Adeneuer,4.1,38,2012,38.94
Clos de Citeaux Pommard Grands Épenots Premier Cru 2015,France,Pommard 1er Cru 'Les Grands Epenots',Domaine Jean Monnier & Fils,4.1,38,2015,83.15
Passion 2015,Austria,Burgenland,Reunion,3.7,38,2015,18.49
Cà Bussin Valpolicella Classico 2017,Italy,Valpolicella,Boscaini Carlo,3.2,38,2017,10.50
Eichberg Spätburgunder GG 2016,Germany,Baden,Franz Keller,4.2,38,2016,49
Amarone della Valpolicella Classico 2013,Italy,Amarone della Valpolicella Classico,Nicolis,3.9,38,2013,39.90
Médoc 2016,France,Médoc,Château Castera,3.9,38,2016,15.69
Schioppettino 2012,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,3.5,38,2012,13.90
Classic Zweigelt 2017,Austria,Burgenland,Esterházy,3.7,38,2017,9.40
Messorio 2016,Italy,Toscana,Le Macchiole,4.4,38,2016,193.03
Centenario 2011,Italy,Monferrato,Azienda Agricola Accornero,4.1,38,2011,24.90
Saint-Estèphe 2016,France,Saint-Estèphe,Château Beau-Site,4.0,38,2016,25.15
Predappio Sangiovese 2015,Italy,Emilia-Romagna,Conde,4.2,38,2015,15.10
El Carretil Rioja 2016,Spain,Rioja,Artadi,4.3,38,2016,160.84
Siebeneich Merlot Riserva 2010,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.6,38,2010,15.55
Caselle Chianti Superiore 2015,Italy,Chianti,Montellori,3.4,38,2015,10.99
Valpolicella 2019,Italy,Valpolicella,Allegrini,3.6,38,2019,10.49
Amarone della Valpolicella Classico 2015,Italy,Amarone della Valpolicella Classico,Paolo Cottini,4.0,38,2015,43.90
Camalaione 2013,Italy,Chianti,Cinciole,4.2,38,2013,38.94
Bell'Aja 2017,Italy,Bolgheri,San Felice,3.7,38,2017,15.50
Rosso di Montalcino 2016,Italy,Rosso di Montalcino,Tenute Silvio Nardi,3.7,380,2016,14.52
Pessac-Léognan (Grand Cru Classé de Graves) 2008,France,Pessac-Léognan,Château La Mission Haut-Brion,4.4,380,2008,209.90
María 2016,Spain,Valencia,De Moya,4.0,380,2016,10.90
Haut-Médoc 2016,France,Haut-Médoc,Château Citran,3.8,380,2016,19.95
Gran Reserva 2018,Chile,Maipo Valley,Escudo Rojo,3.7,380,2018,11.83
Pessac-Léognan (Grand Cru Classé de Graves) 2016,France,Pessac-Léognan,Château Malartic-Lagravière,4.0,381,2016,72
Old Vines Garnacha 2013,Spain,Empordà,Espelt,3.5,381,2013,8.72
Château du Calvaire Saint-Émilion Grand Cru 2016,France,Saint-Émilion Grand Cru,Domaines Roland Dumas,3.8,381,2016,19.99
Syrah 2016,Spain,La Mancha,Terra Linda,3.8,381,2016,9.95
23 Barricas Touriga Nacional - Syrah Alentejano 2012,Portugal,Alentejano,Herdade dos Grous,4.2,381,2012,27.68
27 Ribera del Duero 2017,Spain,Ribera del Duero,Protos,4.0,381,2017,22.80
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Banfi,4.2,3814,2014,25.71
Little James' Basket Press Rouge N.V.,France,Vin de France,Château de Saint Cosme,3.6,3818,N.V.,7.90
Bandol 2016,France,Bandol,Château de Pibarnon,4.1,382,2016,42.50
Gevrey-Chambertin 2015,France,Gevrey-Chambertin,Bouchard Père & Fils,4.0,382,2015,43.67
Cabernet Sauvignon - Merlot 2018,South Africa,Western Cape,Two Oceans,3.2,382,2018,4.90
Svmma Varietalis Red Blend (Summa) 2014,Spain,Dominio de Valdepusa,Marqués de Griñon,4.1,382,2014,21.10
Alentejano Tinto 2018,Portugal,Alentejano,Herdade dos Grous,4.1,382,2018,11.89
Gran Malbec 2017,Argentina,Tupungato,Domaine Bousquet,4.1,382,2017,13.43
Le Corti Chianti Classico 2015,Italy,Chianti Classico,Principe Corsini,3.7,382,2015,7.50
Cabernet Sauvignon 2015,Argentina,Mendoza,Catena,4.0,3821,2015,13.55
Burlesque Old Vine Zinfandel 2017,United States,California,Burlesque,3.9,383,2017,9.99
Cabernet Sauvignon 2016,Italy,Toscana,Brancaia,3.8,383,2016,20.90
Melodias Malbec 2019,Argentina,Mendoza,Trapiche,3.6,383,2019,5.95
Baronne Red 2014,South Africa,Coastal Region,Nederburg,3.3,383,2014,35.46
Saint-Julien (Grand Cru Classé) 2015,France,Saint-Julien,Château Branaire-Ducru,4.1,383,2015,63.22
Ghi kai Uranos Xinomavro 2017,Greece,Naoussa,Thymiopoulos,4.2,383,2017,25.50
Suculé Barbera d'Alba 2013,Italy,Barbera d'Alba,Lo Zoccolaio,3.7,384,2013,15.50
Il Borgo Toscana 2016,Italy,Toscana,Cabreo,4.1,384,2016,31.19
Cabernet Sauvignon - Merlot 2016,Slovenia,Podravje,Puklavec Family Wines,3.4,385,2016,7.66
Venezia Giulia Cabernet Sauvignon 2016,Italy,Venezia Giulia,Lis Neris,4.0,385,2016,22.78
Primitivo Puglia Infinitum 2018,Italy,Puglia,Torrevento,3.7,385,2018,5.95
Indian Wells Cabernet Sauvignon 2016,United States,Columbia Valley,Chateau Ste. Michelle,4.0,3859,2016,20.47
Cabernet Sauvignon 2016,South Africa,Stellenbosch,Stark-Condé,3.8,386,2016,17.44
Amplus One Carmenère 2017,Chile,Peumo,Santa Ema,4.0,386,2017,15.39
Pinot Noir Carneros 2013,United States,Los Carneros,Schug,4.0,386,2013,29.95
Gran Reserva 2012,Spain,Rioja,Campo Viejo,3.8,3863,2012,15.80
Reserva 2015,Spain,Rioja,Muga,4.1,3868,2015,16.99
Crianza 2014,Spain,Utiel-Requena,Torre Oria,3.2,387,2014,4.86
Barolo 2014,Italy,Barolo,Cascina Adelaide,3.9,387,2014,16.47
Diamond Collection Zinfandel (Red Label) 2017,United States,Napa Valley,Francis Ford Coppola,3.7,387,2017,18.50
Max Reserva Merlot 2015,Chile,Aconcagua Valley,Errazuriz,3.7,387,2015,13.55
Querciantica Lacrima di Morro Superiore 2018,Italy,Lacrima di Morro d'Alba,Velenosi,3.9,387,2018,13.49
Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2015,Italy,Amarone della Valpolicella Classico,Speri,4.2,387,2015,39.87
Adobe Carmenère (Reserva) 2018,Chile,Colchagua Valley,Emiliana,3.7,3878,2018,8.45
Haut-Médoc 2008,France,Haut-Médoc,Château Fontesteau,3.7,388,2008,15.95
Bishop Shiraz 2017,Australia,Barossa Valley,Glaetzer,4.0,388,2017,27.99
Douro Tinto 2017,Portugal,Douro,Lavradores de Feitoria,3.4,388,2017,6.77
Cabernet Sauvignon 2017,United States,Napa County,Avalon,3.7,388,2017,22.32
Longitude Shiraz - Cabernet Sauvignon - Malbec 2015,South Africa,Western Cape,Flagstone,3.6,388,2015,8.29
Barolo Gallinotto 2014,Italy,Barolo,Mauro Molino,4.1,388,2014,33.05
Ripassa Valpolicella Ripasso Superiore 2016,Italy,Valpolicella Ripasso,Zenato,4.1,3880,2016,13.48
Oak Cask Malbec 2018,Argentina,Mendoza,Trapiche,3.6,3885,2018,7.96
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Beau-Sejour Becot,4.1,389,2014,63.36
Résonance Pinot Noir 2016,United States,Willamette Valley,Résonance,4.0,389,2016,44.62
Luberon La Ciboise 2017,France,Luberon,M. Chapoutier,3.5,389,2017,7.66
Clancy's Red Blend 2014,Australia,Barossa,Peter Lehmann,3.6,389,2014,15.19
Praittenbrunn 2013,Austria,Neusiedlersee-Hügelland,Scheiblhofer,4.3,389,2013,42.89
Merlot 2017,Chile,Colchagua Valley,Montes Alpha,3.9,389,2017,13.50
Banda Azul Crianza 2017,Spain,Rioja,Federico Paternina,3.5,389,2017,5.75
Crianza 2015,Spain,Ribera del Duero,Protos,4.0,3893,2015,17.45
Saint-Émilion Grand Cru 2010,France,Saint-Émilion Grand Cru,Château Pontet Clauzure,3.7,39,2010,16.25
Merlot 2016,Chile,Central Valley,CyT,3.5,39,2016,16.32
The Ironstone Pressings 2016,Australia,McLaren Vale,d'Arenberg,3.7,39,2016,35.50
Le Clos Rouge Crozes-Hermitage 2012,France,Crozes-Hermitage,Delas,4.0,39,2012,38.89
À Coural 2018,France,Languedoc,Amiel,3.8,39,2018,10.60
Blason d'Aussières Corbières 2018,France,Corbières,Château d’Aussières,4.1,39,2018,12.90
Cabernet Sauvignon Réserve 2015,Germany,Pfalz,Philipp Kuhn,4.1,39,2015,29.29
Barolo Rocche di Castiglione 2013,Italy,Barolo,Vietti,4.4,39,2013,163.93
Coup de Foudre Fleurie 2017,France,Fleurie,Les Bertrand,4.0,39,2017,45.95
Tiglineri Dolcetto d'Alba 2016,Italy,Dolcetto d'Alba,Enzo Boglietti,3.8,39,2016,18.97
Spätburgunder Halbtrocken 2016,Germany,Mayschoss,Winzergenossenschaft Mayschoss-Altenahr,3.6,39,2016,9.50
Chianti Classico Clemente VII Riserva 2015,Italy,Chianti Classico,Castelli del Grevepesa,3.8,39,2015,21.39
Liaison Pinot Noir 2018,Germany,Baden,Enderle & Moll,4.1,39,2018,20.10
VVV Valleys Douro 2016,Portugal,Douro,Vale D. Maria,4.3,39,2016,21.39
Zweigelt 2017,Austria,Niederösterreich,Laessiger,3.6,39,2017,5.65
Barbera d'Alba 2019,Italy,Barbera d'Alba,Prunotto,3.8,39,2019,14.99
Pietra (Primitivo - Susumaniello) 2015,Italy,Salento,Menhir,4.0,39,2015,27.06
Toscana Rosso 2015,Italy,Toscana,Tiberio,3.8,39,2015,7.21
Vigna Flaminio Brindisi Riserva 2013,Italy,Brindisi,Vallone,3.4,39,2013,10.90
Pinot Nero 2010,Italy,Südtirol - Alto Adige,Ferruccio Carlotto,3.6,39,2010,19.45
Pinot Noir 2017,New Zealand,Marlborough,Hunky Dory,3.4,39,2017,14.99
Canta Perdices 2016,Spain,Ribera del Duero,San Pedro Regalado,3.6,39,2016,11.51
Brunello di Montalcino Riserva 2013,Italy,Brunello di Montalcino,Gianni Brunelli,4.6,39,2013,126.74
Le Chemin 2017,France,Côtes de Provence,Clos de l'Ours,3.9,39,2017,24.90
Spätburgunder Devonschiefer 2015,Germany,Ahr,H. J. Kreuzberg,3.7,39,2015,27
Sperss Barolo 2015,Italy,Barolo,Gaja,4.6,39,2015,252.10
Bardolino Classico 2018,Italy,Bardolino Classico,Le Morette,3.7,39,2018,7
Spätburgunder G 2015,Germany,Ahr,Meyer - Näkel,3.8,39,2015,17.50
Les Cailles Nuits-Saint-Georges 1er Cru 2013,France,Nuits-Saint-Georges Premier Cru,Domaine Robert Chevillon,4.0,39,2013,117.87
Barolo Arione 2015,Italy,Barolo,Giacomo Conterno,4.6,39,2015,241.53
Classique La Clape Rouge 2018,France,La Clape,Château d'Anglès,3.6,39,2018,9.50
Pomerol 2005,France,Pomerol,Château Beau Soleil,4.2,39,2005,49.95
Crianza 2014,Spain,La Mancha,Marques dé La Carrasca,3.6,39,2014,5.90
